 Isotope 	weight	 Coh b 	imag b	 Abs xs	8048f1	8048f2
0H	1.00794	-3.739	0	0.3326	1.00E+00	1.11E-06
1H	1.007825035	-3.7423	0	0.3326	1.00E+00	1.11E-06
2H	2.014101779	6.674	0	0.000519	1.00E+00	1.11E-06
3H	3.01604	4.792	0	0	1.00E+00	1.11E-06
0D	2.014101779	6.674	0	0.000519	1.00E+00	1.11E-06
0T	3.01604	4.792	0	0	1.00E+00	1.11E-06
0He	4.002602	3.26	0	0.00747	2.00E+00	4.64E-05
3He	3.01602931	5.74	-1.483	5333	2.00E+00	4.64E-05
4He	4.00260324	3.26	0	0	2.00E+00	4.64E-05
0Li	6.941	-1.9	0	70.5	3.00E+00	3.73E-04
6Li	6.0151214	2	-0.26	940	3.00E+00	3.73E-04
7Li	7.016003	-2.22	0	0.0454	3.00E+00	3.73E-04
0Be	9.0121822	7.79	0	0.0076	4.00E+00	1.49E-03
0B	10.811	5.3	-0.213	767	5.01E+00	4.19E-03
10B	10.0129369	-0.1	-1.066	3835	5.01E+00	4.19E-03
11B 	11.0093054	6.65	0	0.0055	5.01E+00	4.19E-03
0C 	12.0107	6.6484	0	0.0035	6.02E+00	9.55E-03
12C 	12	6.6535	0	0.00353	6.02E+00	9.55E-03
13C 	13.00335483	6.19	0	0.00137	6.02E+00	9.55E-03
0N 	14.0067	9.36	0	1.9	7.03E+00	1.88E-02
14N 	14.003074	9.37	0	1.91	7.03E+00	1.88E-02
15N 	15.00010897	6.44	0	0.000024	7.03E+00	1.88E-02
0O 	15.9994	5.805	0	0.00019	8.05E+00	3.35E-02
16O 	15.99491463	5.803	0	0.0001	8.05E+00	3.35E-02
17O 	16.9991312	5.78	0	0.236	8.05E+00	3.35E-02
18O 	17.9991603	5.84	0	0.00016	8.05E+00	3.35E-02
0F 	18.9984032	5.654	0	0.0096	9.08E+00	5.52E-02
0Ne 	20.1797	4.566	0	0.039	1.01E+01	8.58E-02
20Ne 	19.9924356	4.631	0	0.036	1.01E+01	8.58E-02
21Ne 	20.9938428	6.66	0	0.67	1.01E+01	8.58E-02
22Ne 	21.9913831	3.87	0	0.046	1.01E+01	8.58E-02
0Na 	22.98977	3.63	0	0.53	1.11E+01	1.27E-01
0Mg 	24.305	5.375	0	0.063	1.22E+01	1.81E-01
24Mg 	23.9850423	5.66	0	0.05	1.22E+01	1.81E-01
25Mg 	24.9858374	3.62	0	0.19	1.22E+01	1.81E-01
26Mg 	25.9825937	4.89	0	0.0382	1.22E+01	1.81E-01
0Al 	26.9815386	3.449	0	0.231	1.32E+01	2.50E-01
0Si 	28.0855	4.15071	0	0.171	1.43E+01	3.36E-01
28Si 	27.9769271	4.106	0	0.177	1.43E+01	3.36E-01
29Si 	28.9764949	4.7	0	0.101	1.43E+01	3.36E-01
30Si 	29.9737707	4.58	0	0.107	1.43E+01	3.36E-01
0P 	30.973761	5.13	0	0.172	1.53E+01	4.40E-01
0S 	32.065	2.847	0	0.53	1.63E+01	5.64E-01
32S 	31.972	2.804	0	0.54	1.63E+01	5.64E-01
33S 	32.97145843	4.74	0	0.54	1.63E+01	5.64E-01
34S 	33.96786665	3.48	0	0.227	1.63E+01	5.64E-01
36S 	35.96708062	3	0	0.15	1.63E+01	5.64E-01
0Cl 	35.453	9.577	0	33.5	1.74E+01	7.10E-01
35Cl 	34.96885272	11.65	0	44.1	1.74E+01	7.10E-01
37Cl 	36.96590262	3.08	0	0.433	1.74E+01	7.10E-01
0Ar 	39.948	1.909	0	0.675	1.84E+01	8.79E-01
36Ar 	35.96754552	24.9	0	5.2	1.84E+01	8.79E-01
38Ar 	37.9627325	3.5	0	0.8	1.84E+01	8.79E-01
40Ar 	39.9623837	1.83	0	0.66	1.84E+01	8.79E-01
0K 	39.0983	3.67	0	2.1	1.94E+01	1.07E+00
39K 	38.9637074	3.74	0	2.1	1.94E+01	1.07E+00
40K 	39.9639992	3	0	35	1.94E+01	1.07E+00
41K 	40.9618254	2.69	0	1.46	1.94E+01	1.07E+00
0Ca 	40.078	4.7	0	0.43	2.04E+01	1.29E+00
40Ca 	39.9625906	4.8	0	0.41	2.04E+01	1.29E+00
42Ca 	41.9586176	3.36	0	0.68	2.04E+01	1.29E+00
43Ca 	42.9587662	-1.56	0	6.2	2.04E+01	1.29E+00
44Ca 	43.9554806	1.42	0	0.88	2.04E+01	1.29E+00
46Ca 	45.953689	3.6	0	0.74	2.04E+01	1.29E+00
48Ca 	47.952533	0.39	0	1.09	2.04E+01	1.29E+00
0Sc 	77.95591	12.29	0	27.5	2.13E+01	1.54E+00
0Ti 	47.867	-3.438	0	6.09	2.22E+01	1.81E+00
46Ti 	45.9526294	4.93	0	0.59	2.22E+01	1.81E+00
47Ti 	46.951764	3.63	0	1.7	2.22E+01	1.81E+00
48Ti 	47.9479473	-6.08	0	7.84	2.22E+01	1.81E+00
49Ti 	48.9478711	1.04	0	2.2	2.22E+01	1.81E+00
50Ti 	49.9447921	6.18	0	0.179	2.22E+01	1.81E+00
0V 	50.9415	-0.3824	0	5.08	2.31E+01	2.11E+00
50V 	49.9471609	7.6	0	60	2.31E+01	2.11E+00
51V 	50.9439617	-0.402	0	4.9	2.31E+01	2.11E+00
0Cr 	51.9961	3.635	0	3.05	2.39E+01	2.44E+00
50Cr 	49.9460464	-4.5	0	15.8	2.39E+01	2.44E+00
52Cr 	51.9405098	4.92	0	0.76	2.39E+01	2.44E+00
53Cr 	52.9406513	-4.2	0	18.1	2.39E+01	2.44E+00
54Cr 	53.9388825	4.55	0	0.36	2.39E+01	2.44E+00
0Mn 	54.938049	-3.73	0	13.3	2.45E+01	2.80E+00
0Fe 	55.845	9.45	0	2.56	2.49E+01	3.18946
54Fe 	53.9396127	4.2	0	2.25	2.49E+01	3.18946
56Fe 	55.9349393	9.94	0	2.59	2.49E+01	3.18946
57Fe 	56.9353958	2.3	0	2.48	2.49E+01	3.18946
58Fe 	57.9332773	15	0	1.28	2.49E+01	3.18946
0Co 	58.9332	2.49	0	37.18	2.47E+01	3.60126
0Ni 	58.6934	10.3	0	4.49	2.49E+01	5.23E-01
58Ni 	57.9353462	14.4	0	4.6	2.49E+01	5.23E-01
60Ni 	59.9307884	2.8	0	2.9	2.49E+01	5.23E-01
61Ni 	60.9310579	7.6	0	2.5	2.49E+01	5.23E-01
62Ni 	61.9283461	-8.7	0	14.5	2.49E+01	5.23E-01
64Ni 	63.9279679	-0.37	0	1.52	2.49E+01	5.23E-01
0Cu 	63.546	7.718	0	3.78	2.70E+01	6.03E-01
63Cu 	62.9295989	6.43	0	4.5	2.70E+01	6.03E-01
65Cu 	64.9277929	10.61	0	2.17	2.70E+01	6.03E-01
0Zn 	65.409	5.68	0	1.11	2.84E+01	6.95E-01
64Zn 	63.9291448	5.22	0	0.93	2.84E+01	6.95E-01
66Zn 	65.9260347	5.97	0	0.62	2.84E+01	6.95E-01
67Zn 	66.9271291	7.56	0	6.8	2.84E+01	6.95E-01
68Zn 	67.9248459	6.03	0	1.1	2.84E+01	6.95E-01
70Zn 	69.925325	6	0	0.092	2.84E+01	6.95E-01
0Ga 	69.723	7.288	0	2.75	2.97E+01	7.96E-01
69Ga 	68.92558	7.88	0	2.18	2.97E+01	7.96E-01
71Ga 	70.9247005	6.4	0	3.61	2.97E+01	7.96E-01
0Ge 	72.64	8.185	0	2.2	3.09E+01	9.10E-01
70Ge 	69.9242	10	0	3	3.09E+01	9.10E-01
72Ge 	71.922	8.51	0	0.8	3.09E+01	9.10E-01
73Ge 	72.9234	5.02	0	15.1	3.09E+01	9.10E-01
74Ge 	73.9211774	7.58	0	0.4	3.09E+01	9.10E-01
76Ge 	75.9214016	8.2	0	0.16	3.09E+01	9.10E-01
0As 	74.9216	6.58	0	4.5	3.21E+01	1.03E+00
0Se 	78.96	7.97	0	11.7	3.32E+01	1.17E+00
74Se 	73.9224746	0.8	0	51.8	3.32E+01	1.17E+00
76Se 	75.919212	12.2	0	85	3.32E+01	1.17E+00
77Se 	76.9199125	8.25	0	42	3.32E+01	1.17E+00
78Se 	77.9173076	8.24	0	0.43	3.32E+01	1.17E+00
80Se 	79.6165196	7.48	0	0.61	3.32E+01	1.17E+00
82Se 	81.9166978	6.34	0	0.044	3.32E+01	1.17E+00
0Br 	79.904	6.795	0	6.9	3.43E+01	1.32E+00
79Br 	78.9183361	6.8	0	11	3.43E+01	1.32E+00
81Br 	80.916289	6.79	0	2.7	3.43E+01	1.32E+00
0Kr 	83.798	7.81	0	25	3.55E+01	1.48E+00
78Kr 	78		0	6.4	3.55E+01	1.48E+00
80Kr 	80		0	11.8	3.55E+01	1.48E+00
82Kr 	82		0	29	3.55E+01	1.48E+00
83Kr 	83		0	185	3.55E+01	1.48E+00
84Kr 	84		0	0.113	3.55E+01	1.48E+00
86Kr 	85.910616	8.1	0	0.003	3.55E+01	1.48E+00
0Rb 	85.4978	7.09	0	0.38	3.66E+01	1.66E+00
85Rb 	84.911794	7.03	0	0.48	3.66E+01	1.66E+00
87Rb 	86.909187	7.23	0	0.12	3.66E+01	1.66E+00
0Sr 	87.62	7.02	0	1.28	3.77E+01	1.85E+00
84Sr 	83.91343	7	0	0.87	3.77E+01	1.85E+00
86Sr 	85.9092672	5.67	0	1.04	3.77E+01	1.85E+00
87Sr 	86.9088841	7.4	0	16	3.77E+01	1.85E+00
88Sr 	87.9056188	7.15	0	0.058	3.77E+01	1.85E+00
0Y 	88.90585	7.75	0	1.28	3.87E+01	2.06E+00
0Zr 	91.224	7.16	0	0.185	3.98E+01	2.28E+00
90Zr 	89.9047026	6.4	0	0.011	3.98E+01	2.28E+00
91Zr 	90.9056439	8.7	0	1.17	3.98E+01	2.28E+00
92Zr 	91.9050386	7.4	0	0.22	3.98E+01	2.28E+00
94Zr 	93.906314	8.2	0	0.0499	3.98E+01	2.28E+00
96Zr 	95.908275	5.5	0	0.0229	3.98E+01	2.28E+00
0Nb 	92.90638	7.054	0	1.15	4.09E+01	2.52E+00
0Mo 	95.94	6.715	0	2.48	4.20E+01	2.77E+00
92Mo 	91.906809	6.91	0	0.019	4.20E+01	2.77E+00
94Mo 	96.9050853	6.8	0	0.015	4.20E+01	2.77E+00
95Mo 	94.9058411	6.91	0	13.1	4.20E+01	2.77E+00
96Mo 	95.9046785	6.2	0	0.5	4.20E+01	2.77E+00
97Mo 	96.9060205	7.24	0	2.5	4.20E+01	2.77E+00
98Mo 	97.9054073	6.58	0	0.127	4.20E+01	2.77E+00
100Mo 	99.907477	6.73	0	0.4	4.20E+01	2.77E+00
0Tc 	98	6.8	0	20	4.30E+01	3.04E+00
0Ru 	101.07	7.03	0	2.56	4.41E+01	3.33E+00
96Ru 			0	0.28	4.41E+01	3.33E+00
98Ru 			0	8	4.41E+01	3.33E+00
99Ru 			0	6.9	4.41E+01	3.33E+00
100Ru 			0	4.8	4.41E+01	3.33E+00
101Ru 			0	3.3	4.41E+01	3.33E+00
102Ru 			0	1.17	4.41E+01	3.33E+00
104Ru 			0	0.31	4.41E+01	3.33E+00
0Rh 	102.9055	5.88	0	144.8	4.51E+01	3.64E+00
0Pd 	106.42	5.91	0	6.9	4.61E+01	3.97E+00
102Pd 	101.905634	7.7	0	3.4	4.61E+01	3.97E+00
104Pd 	103.904029	7.7	0	0.6	4.61E+01	3.97E+00
105Pd 	104.905079	5.5	0	20	4.61E+01	3.97E+00
106Pd 	105.90478	6.4	0	0.304	4.61E+01	3.97E+00
108Pd 	107.903895	4.1	0	8.55	4.61E+01	3.97E+00
110Pd 	109.905167	7.7	0	0.226	4.61E+01	3.97E+00
0Ag 	107.8682	5.922	0	63.3	4.71E+01	4.32E+00
107Ag 	106.905092	7.555	0	37.6	4.71E+01	4.32E+00
109Ag 	108.904756	4.165	0	91	4.71E+01	4.32E+00
0Cd 	112.411	4.87	-0.7	2520	48.1177	4.69762
106Cd 	105.906461	5	0	1	48.1177	4.69762
108Cd 	107.904176	5.4	0	1.1	48.1177	4.69762
110Cd 	109.903005	5.9	0	11	48.1177	4.69762
111Cd 	110.904182	6.5	0	24	48.1177	4.69762
112Cd 	111.902757	6.4	0	2.2	48.1177	4.69762
113Cd 	112.9044	-8	-5.73	20600	48.1177	4.69762
114Cd	113.903357	7.5	0	0.34	48.1177	4.69762
116Cd 	115.904755	6.3	0	0.075	48.1177	4.69762
0In 	114.818	4.065	-0.0539	193.8	49.0878	5.09202
113In 	112.904061	5.39	0	12	49.0878	5.09202
115In	114.903882	4.01	-0.0562	202	49.0878	5.09202
0Sn 	118.71	6.225	0	0.626	50.0373	5.50949
112Sn 	111.904826	6	0	1	50.0373	5.50949
114Sn 	113.902784	6.2	0	0.114	50.0373	5.50949
115Sn 	114.903348	6	0	30	50.0373	5.50949
116Sn	115.901747	5.93	0	0.14	50.0373	5.50949
117Sn 	116.902956	6.48	0	2.3	50.0373	5.50949
118Sn 	117.901609	6.07	0	0.22	50.0373	5.50949
119Sn	118.903311	6.12	0	2.2	50.0373	5.50949
120Sn 	119.9021991	6.49	0	0.14	50.0373	5.50949
122Sn	121.9034404	5.74	0	0.18	50.0373	5.50949
124Sn 	123.9052743	5.97	0	0.133	50.0373	5.50949
0Sb 	121.76	5.57	0	4.91	50.9577	5.94891
121Sb 	120.9038212	5.71	0	5.75	50.9577	5.94891
123Sb 	122.904216	5.38	0	3.8	50.9577	5.94891
0Te 	127.6	5.8	0	4.7	51.8496	6.40726
120Te 	119.904048	5.3	0	2.3	51.8496	6.40726
122Te 	121.90305	3.8	0	3.4	51.8496	6.40726
123Te	122.904271	-0.05	-0.116	418	51.8496	6.40726
124Te 	123.902818	7.96	0	6.8	51.8496	6.40726
125Te 	124.9044285	5.02	0	1.55	51.8496	6.40726
126Te 	125.9033095	5.56	0	1.04	51.8496	6.40726
128Te 	127.904463	5.89	0	0.215	51.8496	6.40726
130Te 	129.906228	6.02	0	0.29	51.8496	6.40726
0I 	126.90447	5.28	0	6.15	52.7098	6.88725
0Xe 	131.293	4.92	0	23.9	53.5364	7.39264
124Xe 	123.9058942		0	165	53.5364	7.39264
126Xe 	125.904281		0	3.5	53.5364	7.39264
128Xe 	127.9035312		0	8	53.5364	7.39264
129Xe 	128.9047801		0	21	53.5364	7.39264
130Xe 	129.9035094		0	26	53.5364	7.39264
131Xe 	130.905072		0	85	53.5364	7.39264
132Xe 	131.904144		0	0.45	53.5364	7.39264
134Xe 	133.905395		0	0.265	53.5364	7.39264
136Xe 	135.907214		0	0.26	53.5364	7.39264
0Cs 	132.90545	5.42	0	29	54.3148	7.93923
0Ba 	137.327	5.07	0	1.1	55.0289	8.50487
130Ba 	129.906282	-3.6	0	30	55.0289	8.50487
132Ba 	131.905042	7.8	0	7	55.0289	8.50487
134Ba 	133.904486	5.7	0	2	55.0289	8.50487
135Ba 	134.905665	4.67	0	5.8	55.0289	8.50487
136Ba 	135.904553	4.91	0	0.68	55.0289	8.50487
137Ba 	136.905812	6.83	0	3.6	55.0289	8.50487
138Ba 	137.905232	4.84	0	0.27	55.0289	8.50487
0La 	138.9055	8.24	0	8.97	55.6706	9.09463
138La 	137.907105	8	0	57	55.6706	9.09463
139La 	138.906347	8.24	0	8.93	55.6706	9.09463
0Ce 	140.116	4.84	0	0.63	56.241	9.69717
136Ce 	135.90714	5.8	0	7.3	56.241	9.69717
138Ce 	137.905985	6.7	0	1.1	56.241	9.69717
140Ce 	139.905433	4.84	0	0.57	56.241	9.69717
142Ce 	141.909241	4.75	0	0.95	56.241	9.69717
0Pr 	140.90765	4.58	0	11.5	56.6963	10.3272
0Nd 	144.24	7.69	0	50.5	57.012	10.98
142Nd 	141.90719	7.7	0	18.7	57.012	10.98
143Nd 	142.90981	14	0	337	57.012	10.98
144Nd 	143.91003	2.8	0	3.6	57.012	10.98
145Nd 	144.91257	14	0	42	57.012	10.98
146Nd 	145.913113	8.7	0	1.4	57.012	10.98
148Nd 	147.916889	5.7	0	2.5	57.012	10.98
150Nd 	149.920887	5.3	0	1.2	57.012	10.98
0Pm 	145	12.6	0	168.4	57	11.6537
0Sm 	150.36	0.8	-1.65	5922	56.8782	12.3471
144Sm 	143.911998	-3	0	0.7	56.8782	12.3471
147Sm 	146.914894	14	0	57.3	56.8782	12.3471
148Sm 	147.914819	-3	0	2.4	56.8782	12.3471
149Sm 	148.91718	-19.2	-11.7	42080	56.8782	12.3471
150Sm 	149.917273	14	0	104	56.8782	12.3471
152Sm 	151.919728	-5	0	206	56.8782	12.3471
154Sm 	153.922205	9.3	0	8.4	56.8782	12.3471
0Eu 	151.964	7.22	-1.26	4530	55.3303	13.0912
151Eu 	150.919702	6.13	-2.53	9100	55.3303	13.0912
153Eu 	152.921225	8.22	0	312	55.3303	13.0912
0Gd 	157.25	6.5	-13.82	49700	55.2685	11.9923
152Gd 	151.919786	10	0	735	55.2685	11.9923
154Gd 	153.920861	10	0	85	55.2685	11.9923
155Gd 	154.922618	6	17	61100	55.2685	11.9923
156Gd 	155.922118	6.3	0	1.5	55.2685	11.9923
157Gd 	156.923956	-1.14	-71.9	259000	55.2685	11.9923
158Gd 	157.924019	9	0	2.2	55.2685	11.9923
160Gd 	159.927049	9.15	0	0.77	55.2685	11.9923
0Tb 	159.92534	7.38	0	23.4	55.8769	9.26796
0Dy 	162.5	16.9	-0.276	994	56.3299	9.81251
156Dy 	155.924277	6.1	0	33	56.3299	9.81251
158Dy 	157.924403	6	0	43	56.3299	9.81251
160Dy 	159.925193	6.7	0	56	56.3299	9.81251
161Dy 	160.92993	10.3	0	600	56.3299	9.81251
162Dy 	161.926795	-1.4	0	194	56.3299	9.81251
163Dy 	162.928728	5	0	124	56.3299	9.81251
164Dy 	163.929171	49.4	-0.79	2840	56.3299	9.81251
0Ho 	164.93032	8.01	0	64.7	47.4524	3.79235
0Er 	167.259	7.79	0	159	58.4213	4.02836
162Er 	161.928775	8.8	0	19	58.4213	4.02836
164Er 	163.929198	8.2	0	13	58.4213	4.02836
166Er 	165.93029	10.6	0	19.6	58.4213	4.02836
167Er 	166.93049	3	0	659	58.4213	4.02836
168Er 	167.932368	7.4	0	2.74	58.4213	4.02836
170Er 	169.935461	9.6	0	5.8	58.4213	4.02836
0Tm 	168.93421	7.07	0	100	60.9077	4.27385
0Yb 	173.04	12.43	0	34.8	62.7703	4.52914
168Yb 	167.933894	-4.07	-0.62	2230	62.7703	4.52914
170Yb 	169.934759	6.77	0	11.4	62.7703	4.52914
171Yb 	170.936323	9.66	0	48.6	62.7703	4.52914
172Yb 	171.936378	9.43	0	0.8	62.7703	4.52914
173Yb 	172.938208	9.56	0	17.1	62.7703	4.52914
174Yb 	173.938859	19.3	0	69.4	62.7703	4.52914
176Yb 	175.942564	8.72	0	2.85	62.7703	4.52914
0Lu 	174.967	7.21	0	74	64.3845	4.81206
175Lu 	174.94077	7.24	0	21	64.3845	4.81206
176Lu 	175.942679	6.1	-0.57	2065	64.3845	4.81206
0Hf 	178.49	7.7	0	104.1	65.8685	5.09724
174Hf 	173.940044	10.9	0	561	65.8685	5.09724
176Hf 	175.941406	6.61	0	23.5	65.8685	5.09724
177Hf 	176.943217	0.8	0	373	65.8685	5.09724
178Hf 	177.943696	5.9	0	84	65.8685	5.09724
179Hf 	178.9458122	7.46	0	41	65.8685	5.09724
180Hf 	179.9465457	13.2	0	13.04	65.8685	5.09724
0Ta 	180.9479	6.91	0	20.6	67.2308	5.39423
180Ta 	179.947462	7	0	563	67.2308	5.39423
181Ta 	180.947992	6.91	0	20.5	67.2308	5.39423
0W 	183.84	4.86	0	18.3	68.5693	5.70359
180W 	179.946701	5	0	30	68.5693	5.70359
182W 	181.948202	6.97	0	20.7	68.5693	5.70359
183W 	182.95022	6.53	0	10.1	68.5693	5.70359
184W 	183.950928	7.48	0	1.7	68.5693	5.70359
186W 	185.954357	-0.72	0	37.9	68.5693	5.70359
0Re 	186.207	9.2	0	89.7	69.84	6.02593
185Re 	184.952951	9	0	112	69.84	6.02593
187Re 	186.955744	9.3	0	76.4	69.84	6.02593
0Os 	190.23	10.7	0	16	71.0732	6.36071
184Os 	183.952488	10	0	3000	71.0732	6.36071
186Os 	185.95383	11.6	0	80	71.0732	6.36071
187Os 	186.955741	10	0	320	71.0732	6.36071
188Os 	187.95583	7.6	0	4.7	71.0732	6.36071
189Os 	188.958137	10.7	0	25	71.0732	6.36071
190Os 	189.958436	11	0	13.1	71.0732	6.36071
192Os 	191.961467	11.5	0	2	71.0732	6.36071
